entity	table	column	type	required	pk	ref	note
Table	biosample	age_at_collection	float	NA	NA	NA	age in years at sample collection
Table	biosample	dbgap_sample_id	string	NA	NA	NA	Sample identifier used in dbGaP (if previously submitted)
Table	biosample	sample_submission_site	enumeration	NA	NA	NA	Site that is responsible for this sample
Table	biosample	tissue_description	string	NA	NA	NA	Free text description of tissue source
Table	biosample	sample_details	string	NA	NA	NA	Free text to capture information not in structured fields
Table	biosample	sample_collection_timestamp	date	NA	NA	NA	<GSS draft description and values>
Table	biosample	participant_drugs_intake	NA	NA	NA	NA	The list of drugs patient is on, at the time of sample collection. This information is helpful during analysis of metabolomics and immune asssays. Free Text
Table	biosample	fasting_status	boolean	NA	NA	NA	If the patient was fasting, when the sample was collected
Table	biosample	passage_number	integer	NA	NA	NA	<GSS draft description and values>
Table	biosample	delayed_freeze	boolean	NA	NA	NA	<GSS draft description and values>
Table	experiment	experiment_id	string	TRUE	TRUE	NA	identifier for experiment (primary key)
Table	experiment	biosample_id	string	TRUE	NA	> biosample.biosample_id	NA
Table	experiment	assay_type	enumeration	TRUE	NA	NA	Type of assay
Table	experiment	experiment_sample_id	string	NA	NA	NA	identifier used in the data file (e.g. VCF header / LIMS ID)
Table	experiment	experiment_lab	string	TRUE	NA	NA	idenitifer for lab where experiment was performed
Table	experiment_set	experiment_set_id	string	TRUE	TRUE	NA	identifier for a set of experiments (primary key)
Table	experiment_set	experiment_id	string	TRUE	NA	> experiment.experiment_id	NA
Table	experiment_details_short_read	experiment_id	string	TRUE	TRUE	- experiment.experiment_id	identifier for experiment (primary key)
Table	experiment_details_short_read	seq_library_prep_kit_method	string	NA	NA	NA	Library prep kit used
Table	experiment_details_short_read	read_length	integer	NA	NA	NA	sequenced read length (bp)
Table	experiment_details_short_read	experiment_type	enumeration	TRUE	NA	NA	NA
Table	experiment_details_short_read	targeted_regions_method	string	NA	NA	NA	<description>
Table	experiment_details_short_read	targeted_region_bed_filename	string	NA	NA	NA	name of bed file uploaded to workspace
Table	experiment_details_short_read	targeted_region_bed_file_uri	string	NA	NA	NA	google cloud location of bed file (added in QC)
Table	experiment_details_short_read	date_data_generation	date	NA	NA	NA	Date of data generation (First sequencing date)
Table	experiment_details_short_read	target_insert_size	integer	NA	NA	NA	targeted insert size for DNA fragments
Table	experiment_details_short_read	sequencing_platform	string	NA	NA	NA	sequencing platform used for the experiment
Table	aligned_short_reads	experiment_id	string	TRUE	NA	> experiment.experiment_id	identifier for experiment
Table	aligned_short_reads	filename	string	TRUE	NA	NA	name of file with aligned reads
Table	aligned_short_reads	file_uri	string	NA	NA	NA	google cloud location of the file (added in QC)
Table	aligned_short_reads	md5sum	string	TRUE	TRUE	NA	md5 checksum for file (primary key)
Table	aligned_short_reads	file_size_bytes	integer	TRUE	NA	NA	to be discussed with AnVIL; may not be necessary
Table	aligned_short_reads	reference_genome_build	string	TRUE	NA	NA	NA
Table	aligned_short_reads	alignment_software	string	TRUE	NA	NA	Software including version number
Table	aligned_short_reads	mean_coverage	numeric	NA	NA	NA	Mean coverage of either the genome or the targeted regions
Table	called_variants_short_read	experiment_set_id	string	TRUE	NA	> experiment_set.experiment_set_id	identifier for experiment set
Table	called_variants_short_read	filename	string	TRUE	NA	NA	name of the file with variant calls
Table	called_variants_short_read	file_uri	string	NA	NA	NA	google cloud location of the file (added in QC)
Table	called_variants_short_read	md5sum	string	TRUE	TRUE	NA	md5 checksum for file (primary key)
Table	called_variants_short_read	file_size_bytes	string	TRUE	NA	NA	to be discussed with AnVIL; may not be necessary
Table	called_variants_short_read	caller_software	character_separated_list_of_strings	TRUE	NA	NA	variant calling software used including version number
Table	called_variants_short_read	variants_called	character_separated_list_of_strings	TRUE	NA	NA	types of variants called
Table	called_variants_short_read	analysis_pipeline	string	NA	NA	NA	brief description of the analysis pipeline used for producing the file; eventually a link to something like a WDL file
Table	experiment_details_long_read	experiment_id	string	TRUE	TRUE	- experiment.experiment_id	identifier for experiment (primary key)
Table	experiment_details_long_read	seq_library_prep_kit_method	string	NA	NA	NA	Library prep kit used
Table	experiment_details_long_read	read_length	integer	NA	NA	NA	sequenced read length (bp)
Table	experiment_details_long_read	targeted_regions_method	string	NA	NA	NA	NA
Table	experiment_details_long_read	targeted_region_bed_file	string	NA	NA	NA	NA
Table	experiment_details_long_read	date_data_generation	date	NA	NA	NA	NA
Table	experiment_details_long_read	target_insert_size	integer	NA	NA	NA	targeted insert size for DNA fragments
Table	experiment_details_long_read	sequencer_id	string	NA	NA	NA	machine identifier for sequencer
Table	experiment_details_long_read	flowcell	string	NA	NA	NA	flowcell identifier
Table	experiment_details_long_read	flowcell_type	string	NA	NA	NA	NA
Table	experiment_details_long_read	sequencing_platform	string	NA	NA	NA	NA
Table	experiment_details_long_read	library_ids	string	NA	NA	NA	NA
Table	experiment_details_long_read	analyte_extraction_method	string	NA	NA	NA	NA
Table	experiment_details_long_read	sequencing_assay	enumeration	NA	NA	NA	NA
